,ardrone_predictedPose__batteryPercent,ardrone_predictedPose__droneState,ardrone_predictedPose__dx,ardrone_predictedPose__dy,ardrone_predictedPose__dyaw,ardrone_predictedPose__dz,ardrone_predictedPose__pitch,ardrone_predictedPose__ptamState,ardrone_predictedPose__roll,ardrone_predictedPose__scale,ardrone_predictedPose__scaleAccuracy,ardrone_predictedPose__x,ardrone_predictedPose__y,ardrone_predictedPose__yaw,ardrone_predictedPose__z,vrpn_client_node_ardrone_pose__pose_orientation_w,vrpn_client_node_ardrone_pose__pose_orientation_x,vrpn_client_node_ardrone_pose__pose_orientation_y,vrpn_client_node_ardrone_pose__pose_orientation_z,vrpn_client_node_ardrone_pose__pose_position_x,vrpn_client_node_ardrone_pose__pose_position_y,vrpn_client_node_ardrone_pose__pose_position_z
2016-05-05 05:51:26.130936576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:26.162091008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.463770880,,,,,,,,,,,,,,,,0.998711526394,-0.0447519011796,0.023841124028,0.00204381765798,-1.96576046944,0.0790995955467,0.472848623991
2016-05-05 05:51:26.195378176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.472943360,,,,,,,,,,,,,,,,0.99872481823,-0.0444407127798,0.0238885805011,0.00180485378951,-1.96565687656,0.079084649682,0.472770631313
2016-05-05 05:51:26.228802304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:26.262093312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.483215104,,,,,,,,,,,,,,,,0.998724400997,-0.0444594919682,0.0238658264279,0.00184277945664,-1.96572637558,0.0790482982993,0.472714990377
2016-05-05 05:09:53.483227648,,,,,,,,,,,,,,,,0.998936653137,-0.0394062362611,0.0238197799772,-0.00230482360348,-1.96577060223,0.0794927701354,0.473048001528
2016-05-05 05:51:26.295486976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:09:53.493391872,,,,,,,,,,,,,,,,0.998721718788,-0.0444806776941,0.0239439867437,0.00180862506386,-1.96562790871,0.0791201218963,0.472797572613
2016-05-05 05:51:26.328813056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:26.362092544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
